"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","source","checklist","count","longitude","latitude","pic.name"
"Echinocereus engelmannii fasciculatus","pinkflower hedgehog cactus","Plantae","Plants",2026-08-08,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",11,"sueriffe",2520731,"false","https://www.inaturalist.org/observations/389786427","https://inaturalist-open-data.s3.amazonaws.com/photos/714019632/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7363966667,32.1801333333,"pinkflower hedgehog cactus_sueriffe_1"
"Amphispiza bilineata","black-throated sparrow","Aves","Birds",2026-08-09,"Tucson, AZ 85743, USA",NA,"snailmail98",6129514,"false","https://www.inaturalist.org/observations/390052510","https://inaturalist-open-data.s3.amazonaws.com/photos/714545724/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-111.1976887997,32.2545356997,"black-throated sparrow_snailmail98_2"
"Stagmomantis limbata","arizona mantis","Insecta","Insects",2026-08-06,"Saguaro National Park, Pima County, US-AZ, US",100,"tarantulas",1893531,"false","https://www.inaturalist.org/observations/388772504","https://inaturalist-open-data.s3.amazonaws.com/photos/712071222/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7365370914,32.180117728,"arizona mantis_tarantulas_3"
"Scolopendra heros","giant desert centipede","Animalia","Other animals",2026-08-09,"Tanque Verde Ridge Trail, Tucson, AZ, US",20,"ruthallenrn",10280511,"false","https://www.inaturalist.org/observations/389843071","https://inaturalist-open-data.s3.amazonaws.com/photos/714133227/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7161466667,32.1580971667,"giant desert centipede_ruthallenrn_4"
"Melanerpes uropygialis","gila woodpecker","Aves","Birds",2026-08-04,"Pima County, AZ, USA",15,"elka+bamboo",2874187,"false","https://www.inaturalist.org/observations/389453724","https://inaturalist-open-data.s3.amazonaws.com/photos/713372525/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-111.2015,32.2772,"gila woodpecker_elka+bamboo_5"
"Cicindelidia sedecimpunctata","western red-bellied tiger beetle","Insecta","Insects",2026-08-06,"Pima County, AZ, USA",287,"roomthily",442615,"false","https://www.inaturalist.org/observations/388915280","https://inaturalist-open-data.s3.amazonaws.com/photos/712349549/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6837501217,32.2172911551,"western red-bellied tiger beetle_roomthily_6"
"Ambrosia deltoidea","triangle-leaf bursage","Plantae","Plants",2026-08-10,"Tucson",381,"gmarshall33",9397159,"false","https://www.inaturalist.org/observations/390045717","https://inaturalist-open-data.s3.amazonaws.com/photos/714640506/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-111.2111053467,32.2619628906,"triangle-leaf bursage_gmarshall33_7"
"Melozone fusca","canyon towhee","Aves","Birds",2026-08-08,"Visitor Center Trail, Tucson, AZ, US",25,"mcooper520",10798194,"false","https://www.inaturalist.org/observations/389424940","https://inaturalist-open-data.s3.amazonaws.com/photos/713317675/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-111.1973446711,32.2545691495,"canyon towhee_mcooper520_8"
"Anaxyrus punctatus","red-spotted toad","Amphibia","Amphibians",2026-08-06,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",4,"nvpyromelana",193847,"false","https://www.inaturalist.org/observations/389550900","https://inaturalist-open-data.s3.amazonaws.com/photos/713563613/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6765666667,32.14085,"red-spotted toad_nvpyromelana_9"
