scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Cardinalis cardinalis,northern cardinal,Aves,Birds,2026-08-05,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380254466,NA,NA,eBird,S380254466,1,-111.2106575,32.2625304
Cardinalis cardinalis,northern cardinal,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,3,-110.6086395,32.1534807
Mimus polyglottos,northern mockingbird,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382116716,NA,NA,eBird,S382116716,1,-110.724721,32.2035417
Mimus polyglottos,northern mockingbird,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest South Trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S380826761,NA,NA,eBird,S380826761,1,-110.7287979,32.1704179
Mimus polyglottos,northern mockingbird,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S380864059,NA,NA,eBird,S380864059,1,-110.7076505,32.191219
Mimus polyglottos,northern mockingbird,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,1,-110.6086395,32.1534807
Stelgidopteryx serripennis,northern rough-winged swallow,Aves,Birds,2026-08-10,Saguaro NP--East--Extreme Living Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S382075582,NA,NA,eBird,S382075582,1,-110.731385,32.189803
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-08,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",2,sueriffe,2520731,false,https://www.inaturalist.org/observations/389787095,https://inaturalist-open-data.s3.amazonaws.com/photos/714021110/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.736405,32.1801216667
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-06,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",4,roomthily,442615,false,https://www.inaturalist.org/observations/389772607,https://inaturalist-open-data.s3.amazonaws.com/photos/713993003/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6859366667,32.2208033333
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-08,"Cactus Forest Dr, Tucson, AZ, US",2,matthazelgren,3214990,false,https://www.inaturalist.org/observations/389500513,https://static.inaturalist.org/photos/713466257/medium.jpg,,iNaturalist,NA,1,-110.70887,32.20275
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-06,"Saguaro National Park - Tucson Mountain District (West), Tucson, AZ, US",3374,tatianabarreto,580953,false,https://www.inaturalist.org/observations/389490963,https://static.inaturalist.org/photos/713446930/medium.jpg,,iNaturalist,NA,1,-111.1493105246,32.2816419456
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-04,"Tucson, AZ 85743, USA",NA,elka_bamboo,2874187,false,https://www.inaturalist.org/observations/389136861,https://inaturalist-open-data.s3.amazonaws.com/photos/712759792/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.2031534,32.2766447997
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-04,"Tucson, AZ 85743, USA",NA,ruzickajan,1365184,false,https://www.inaturalist.org/observations/389074572,https://inaturalist-open-data.s3.amazonaws.com/photos/712639446/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.1954833333,32.2774033333
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-04,"Tucson, AZ 85743, USA",NA,ruzickajan,1365184,false,https://www.inaturalist.org/observations/389069133,https://inaturalist-open-data.s3.amazonaws.com/photos/712628697/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.21205,32.2625133333
Fouquieria splendens,ocotillo,Plantae,Plants,2026-08-07,"Cactus Forest Dr, Tucson, AZ, US",2,cjreese85,9944331,false,https://www.inaturalist.org/observations/389062552,https://inaturalist-open-data.s3.amazonaws.com/photos/712616462/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.7312024954,32.1919984018
Urosaurus ornatus,ornate tree lizard,Reptilia,Reptiles,2026-08-09,"Tanque Verde Ridge Trail, Tucson, AZ, US",13,ruthallenrn,10280511,false,https://www.inaturalist.org/observations/389843411,https://inaturalist-open-data.s3.amazonaws.com/photos/714134031/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.7223283333,32.1601528333
Trimerotropis pallidipennis,pallid-winged grasshopper,Insecta,Insects,2026-08-04,"Tucson, AZ 85743, USA",NA,ruzickajan,1365184,false,https://www.inaturalist.org/observations/388484427,https://inaturalist-open-data.s3.amazonaws.com/photos/711509814/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-111.2120516667,32.2613533333
Phainopepla nitens,phainopepla,Aves,Birds,2026-08-10,Saguaro NP--East--Mica View,NA,NA,NA,NA,https://ebird.org/checklist/S382075428,NA,NA,eBird,S382075428,1,-110.7246381,32.2111462
Phainopepla nitens,phainopepla,Aves,Birds,2026-08-08,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S381362931,NA,NA,eBird,S381362931,1,-110.7076505,32.191219
Phainopepla nitens,phainopepla,Aves,Birds,2026-08-07,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380984701,NA,NA,eBird,S380984701,2,-110.724721,32.2035417
Echinocereus engelmannii fasciculatus,pinkflower hedgehog cactus,Plantae,Plants,2026-08-04,"Saguaro, Saguaro National Park, Pima, Arizona, United States",3,huntingbon,963417,false,https://www.inaturalist.org/observations/389811970,https://inaturalist-open-data.s3.amazonaws.com/photos/714065466/medium.jpg,CC0,iNaturalist,NA,1,-110.7277055556,32.1641194444
